"fornavn","efternavn","alder","vejnavn","nummer","betegnelse","bynavn","kørekort-li","kørekort-mc","kørekort-st"
"Karen","Sørensen","70","Nygade","41","","Kolding","j","n","n"
"Karen","Larsen","19","Østergade","72","2. tv","Aalborg","j","n","n"
"Christian","Poulsen","79","Søndergade","59","","Køge","j","n","n"
"Charlotte","Nielsen","80","Østergade","21","","Hovedstadsområdet","j","n","n"
"Karen","Møller","70","Vinkelvej","26","","Hørsholm","j","n","n"
"Louise","Kristensen","46","Stationsvej","44","","Randers","n","n","n"
"Morten","Madsen","24","Lærkevej","46","","Horsens","j","n","n"
"Henrik","Petersen","34","Vinkelvej","53","","Taastrup","j","n","n"
"Tina","Jørgensen","24","Vestergade","8","","Silkeborg","n","n","n"
"Henrik","Jørgensen","48","Vinkelvej","79","st tv","Hovedstadsområdet","j","n","j"
"Karen","Hansen","100","Vinkelvej","97","","Fredericia","j","n","n"
"Karen","Mortensen","23","Syrenvej","16","","Aarhus","j","n","n"
"Charlotte","Møller","64","Syrenvej","32","","Odense","j","n","n"
"Per","Sørensen","47","Kirkevej","76","","Kolding","j","n","n"
"Susanne","Jørgensen","49","Nyvej","42","","Odense","j","n","n"
"Niels","Johansen","35","Industrivej","7","","Aalborg","j","n","n"
"Susanne","Christensen","47","Skolegade","15","","Helsingør","j","n","n"
"Martin","Olsen","53","Nyvej","63","","Holstebro","n","n","n"
"Helle","Larsen","30","Engvej","74","","Køge","j","n","n"
"Christian","Mortensen","70","Mosevej","56","","Fredericia","j","n","n"
"Niels","Larsen","37","Nygade","80","","Odense","j","n","n"
"Gitte","Pedersen","22","Nørregade","91","","Silkeborg","j","n","j"
"Hanne","Sørensen","23","Skovvej","7","","Køge","j","n","n"
"Karen","Olsen","39","Vestergade","32","B","Aalborg","j","n","n"
"Maria","Andersen","73","Syrenvej","99","","Vejle","j","n","n"
"Jesper","Christensen","45","Kirkevej","8","","Helsingør","j","n","n"
"Lars","Andersen","96","Nygade","37","","Hovedstadsområdet","j","n","n"
"Anna","Andersen","43","Mågevej","51","","Esbjerg","j","n","n"
"Hans","Jensen","29","Skovbrynet","69","","Roskilde","n","n","n"
"Susanne","Petersen","20","Nyvej","76","","Viborg","j","n","j"
"Rasmus","Madsen","53","Skovvej","77","","Kolding","j","n","n"
"Jesper","Madsen","30","Lærkevej","84","","Aarhus","j","n","n"
"Susanne","Thomsen","38","Vestergade","71","","Helsingør","j","n","n"
"Pia","Johansen","18","Nyvej","13","","Horsens","n","n","n"
"Karen","Nielsen","82","Lærkevej","28","","Vejle","j","n","n"
"Charlotte","Kristensen","40","Stationsvej","47","","Næstved","j","n","n"
"Charlotte","Christiansen","57","Mågevej","74","","Aarhus","j","n","n"
"Marianne","Johansen","31","Skolevej","16","","Fredericia","j","n","n"
"Karen","Andersen","47","Nørregade","33","","Viborg","j","n","n"
"Helle","Hansen","36","Stationsvej","7","","Viborg","j","n","n"
"Søren","Larsen","61","Mosevej","67","","Hovedstadsområdet","j","n","n"
"Mette","Mortensen","66","Nyvej","6","","Odense","j","n","n"
"Karen","Jørgensen","56","Vestergade","62","","Køge","j","n","j"
"Morten","Jensen","82","Østergade","18","","Kolding","j","n","n"
"Søren","Larsen","46","Engvej","97","","Roskilde","j","n","n"
"Gitte","Madsen","84","Skovvej","1","","Randers","j","n","n"
"Henrik","Thomsen","28","Tværvej","15","A","Fredericia","n","j","n"
"Henrik","Christensen","60","Stationsvej","24","","Silkeborg","j","n","n"
"Lone","Johansen","25","Vinkelvej","1","","Taastrup","n","j","n"
"Helle","Pedersen","33","Vestergade","9","","Hovedstadsområdet","n","n","n"
"Rasmus","Johansen","31","Skolegade","15","","Helsingør","j","n","j"
"Ole","Møller","76","Mosevej","3","","Holstebro","j","n","n"
"Pia","Poulsen","32","Industrivej","22","","Aalborg","j","n","j"
"Martin","Hansen","39","Nygade","8","","Hovedstadsområdet","j","n","n"
"Jesper","Nielsen","55","Kirkevej","2","","Næstved","n","n","n"
"Bente","Hansen","38","Skolegade","40","1. th","Fredericia","j","n","n"
"Jette","Jørgensen","42","Vinkelvej","8","","Hovedstadsområdet","j","n","j"
"Hans","Christiansen","35","Engvej","42","C","Horsens","j","n","j"
"Per","Petersen","66","Syrenvej","44","","Odense","j","n","n"
"Louise","Rasmussen","36","Skolegade","80","","Aalborg","j","n","n"
"Lone","Hansen","52","Nyvej","16","","Hovedstadsområdet","j","n","n"
"Bente","Jensen","53","Lærkevej","59","","Horsens","j","n","n"
"Martin","Nielsen","43","Kirkevej","85","","Holstebro","n","n","n"
"Peter","Thomsen","96","Skovbrynet","79","","Helsingør","n","n","n"
"Hanne","Petersen","53","Mågevej","37","","Aarhus","j","n","n"
"Mette","Christiansen","36","Skovvej","47","","Herning","j","n","n"
"Jesper","Madsen","46","Vinkelvej","64","","Silkeborg","j","n","n"
"Jette","Hansen","73","Nygade","40","","Herning","n","n","n"
"Gitte","Hansen","36","Stationsvej","53","","Roskilde","n","n","n"
"Camilla","Christensen","87","Skolevej","16","","Fredericia","j","j","n"
"Rasmus","Christensen","38","Skovvej","36","","Viborg","j","n","n"
"Martin","Møller","92","Kirkevej","96","","Hørsholm","j","n","n"
"Louise","Hansen","24","Mosevej","78","","Viborg","j","n","j"
"Jørgen","Sørensen","20","Industrivej","74","","Odense","j","j","n"
"Per","Møller","86","Mågevej","53","","Aalborg","j","n","n"
"Camilla","Sørensen","23","Engvej","93","D","Roskilde","n","n","n"
"Lone","Poulsen","78","Lærkevej","45","","Vejle","j","n","n"
"Anne","Kristensen","62","Stationsvej","89","","Fredericia","n","n","n"
"Martin","Pedersen","49","Nørregade","11","","Odense","j","n","n"
"Jørgen","Andersen","91","Skolevej","91","","Helsingør","j","n","n"
"Jesper","Larsen","21","Stationsvej","65","","Taastrup","j","n","j"
"Henrik","Andersen","23","Stationsvej","42","","Taastrup","j","j","n"
"Lars","Larsen","92","Vestergade","29","","Hovedstadsområdet","j","n","n"
"Christian","Larsen","25","Vinkelvej","53","","Esbjerg","j","n","n"
"Morten","Sørensen","19","Søndergade","5","D","Aarhus","j","n","n"
"Bente","Kristensen","96","Skovvej","65","","Holstebro","n","n","n"
"Lone","Jørgensen","76","Skolegade","41","","Holstebro","j","n","n"
"Anna","Olsen","18","Østergade","53","","Næstved","j","n","n"
"Karen","Thomsen","33","Tværvej","35","","Taastrup","j","n","n"
"Jens","Thomsen","49","Østergade","48","","Horsens","j","n","n"
"Lene","Andersen","36","Stationsvej","30","","Silkeborg","j","n","n"
"Hans","Pedersen","50","Skovbrynet","98","","Vejle","j","n","n"
"Ole","Andersen","67","Skolegade","38","","Fredericia","j","n","n"
"Jens","Sørensen","19","Tværvej","40","","Odense","j","n","n"
"Jan","Kristensen","41","Nyvej","67","","Fredericia","j","n","j"
"Per","Jensen","79","Mågevej","25","","Hovedstadsområdet","j","n","n"
"Morten","Petersen","30","Nyvej","3","","Hørsholm","j","n","n"
"Camilla","Nielsen","74","Vestergade","52","","Køge","j","n","n"
"Niels","Johansen","87","Søndergade","62","","Horsens","j","n","n"
"Susanne","Christensen","49","Mosevej","73","","Hørsholm","j","n","n"
"Per","Larsen","38","Skovvej","44","","Aarhus","j","j","n"
"Lone","Jensen","64","Skovvej","39","","Horsens","j","n","n"
"Marianne","Jensen","19","Engvej","15","","Kolding","j","n","n"
"Bente","Thomsen","27","Søndergade","30","","Helsingør","j","n","n"
"Michael","Poulsen","22","Tværvej","32","","Næstved","j","n","n"
"Charlotte","Johansen","83","Stationsvej","44","","Odense","j","j","n"
"Mette","Jensen","24","Skovvej","49","","Næstved","j","n","n"
"Michael","Christensen","35","Syrenvej","46","st tv","Vejle","j","n","n"
"Karen","Johansen","69","Lærkevej","10","","Hørsholm","j","n","n"
"Jan","Pedersen","51","Syrenvej","30","","Holstebro","j","n","n"
"Thomas","Poulsen","95","Mågevej","39","D","Næstved","j","n","n"
"Ole","Johansen","74","Nyvej","85","","Odense","j","j","n"
"Anne","Hansen","90","Industrivej","29","","Silkeborg","n","j","n"
"Jens","Rasmussen","93","Vestergade","86","","Køge","j","n","n"
"Pia","Larsen","71","Skolevej","37","","Helsingør","j","n","n"
"Charlotte","Thomsen","79","Søndergade","39","","Fredericia","n","n","n"
"Maria","Thomsen","64","Syrenvej","10","","Silkeborg","j","n","n"
"Hans","Kristensen","21","Kirkevej","92","","Næstved","j","n","n"
"Helle","Jørgensen","77","Mosevej","75","","Viborg","j","n","j"
"Lene","Sørensen","63","Nørregade","75","1. tv","Horsens","n","j","n"
"Michael","Kristensen","56","Vestergade","69","","Hørsholm","j","n","n"
"Martin","Rasmussen","38","Søndergade","69","st tv","Holstebro","j","n","n"
"Karen","Thomsen","69","Kirkevej","34","","Taastrup","j","n","n"
"Anna","Mortensen","49","Vinkelvej","86","2. th","Holstebro","j","n","n"
"Maria","Johansen","54","Skovbrynet","12","","Aarhus","j","n","n"
"Thomas","Mortensen","22","Skovvej","23","","Roskilde","j","n","n"
"Anne","Hansen","40","Engvej","73","","Helsingør","j","n","n"
"Lene","Nielsen","22","Vinkelvej","39","","Herning","j","n","n"
"Jan","Rasmussen","56","Mosevej","71","1. tv","Holstebro","j","n","n"
"Jan","Rasmussen","64","Industrivej","25","","Esbjerg","j","n","j"
"Hanne","Christensen","71","Nørregade","30","","Helsingør","j","n","n"
"Lone","Larsen","83","Skovvej","30","","Viborg","j","n","j"
"Søren","Larsen","62","Tværvej","59","","Næstved","j","n","n"
"Maria","Møller","65","Nyvej","7","","Fredericia","j","n","n"
"Michael","Mortensen","62","Kirkevej","42","A","Helsingør","j","n","j"
"Martin","Kristensen","48","Mosevej","54","","Silkeborg","j","n","n"
"Mads","Christiansen","88","Skovbrynet","39","","Silkeborg","j","n","n"
"Per","Christiansen","31","Skovbrynet","36","","Køge","j","n","n"
"Louise","Poulsen","59","Skolevej","11","","Hovedstadsområdet","j","n","n"
"Bente","Kristensen","91","Skovvej","53","","Herning","j","n","n"
"Charlotte","Christiansen","87","Kirkevej","11","","Roskilde","n","n","n"
"Karen","Jørgensen","74","Engvej","8","","Randers","j","n","n"
"Lone","Johansen","26","Nørregade","87","1. tv","Esbjerg","j","n","n"
"Søren","Rasmussen","53","Kirkevej","49","","Aarhus","j","n","j"
"Jette","Hansen","22","Skolevej","69","","Aarhus","j","n","n"
"Rasmus","Andersen","79","Østergade","72","","Hørsholm","n","n","n"
"Jette","Rasmussen","33","Mosevej","38","","Taastrup","n","n","n"
"Pia","Andersen","83","Vestergade","40","","Herning","j","j","n"
"Gitte","Kristensen","66","Mågevej","73","","Odense","j","n","n"
"Charlotte","Mortensen","48","Vinkelvej","94","","Odense","j","n","j"
"Anne","Rasmussen","31","Nyvej","58","","Viborg","j","n","n"
"Lone","Johansen","36","Nygade","51","","Hovedstadsområdet","j","n","n"
"Gitte","Andersen","86","Skovvej","50","","Horsens","j","n","n"
"Mette","Christiansen","61","Industrivej","4","","Randers","j","n","n"
"Jesper","Poulsen","70","Mågevej","76","","Næstved","j","j","n"
"Lars","Madsen","66","Skolegade","12","","Silkeborg","n","n","n"
"Louise","Petersen","69","Vinkelvej","47","","Esbjerg","j","n","n"
"Jan","Møller","62","Tværvej","85","","Randers","n","n","n"
"Hanne","Mortensen","92","Skovvej","63","","Viborg","j","n","n"
"Anna","Sørensen","37","Syrenvej","33","","Vejle","j","n","n"
"Helle","Møller","60","Tværvej","87","","Silkeborg","j","j","n"
"Anne","Hansen","53","Nygade","38","","Roskilde","n","n","n"
"Susanne","Christensen","37","Industrivej","29","","Horsens","n","n","n"
"Jan","Thomsen","39","Skovvej","80","","Vejle","j","n","n"
"Mette","Thomsen","23","Skolegade","61","","Roskilde","n","n","n"
